time, Quad.Est.E.Pos, Quad.Est.S.Z
2.694987,0.179459,0.347880
2.699987,0.179469,0.348002
2.704986,0.157770,0.346894
2.709986,0.158109,0.347007
2.714986,0.158526,0.347177
2.719985,0.158825,0.347291
2.724985,0.159237,0.347463
2.729985,0.159463,0.347578
2.734984,0.159891,0.347751
2.739984,0.160178,0.347866
2.744983,0.160607,0.348041
2.749983,0.160875,0.348158
2.754983,0.161277,0.348334
2.759982,0.161526,0.348452
2.764982,0.161920,0.348629
2.769982,0.162067,0.348748
2.774981,0.162427,0.348927
2.779981,0.162745,0.349047
2.784981,0.163122,0.349227
2.789980,0.163750,0.349348
2.794980,0.164191,0.349530
2.799979,0.164329,0.349652
2.804979,0.199402,0.348548
2.809979,0.199912,0.348660
2.814978,0.200418,0.348830
2.819978,0.200632,0.348943
2.824978,0.201167,0.349114
2.829977,0.201560,0.349228
2.834977,0.202082,0.349401
2.839977,0.202445,0.349516
2.844976,0.202940,0.349690
2.849976,0.203289,0.349806
2.854975,0.203803,0.349982
2.859975,0.204162,0.350099
2.864975,0.204682,0.350276
2.869974,0.205034,0.350394
2.874974,0.205555,0.350572
2.879974,0.205903,0.350692
2.884973,0.206424,0.350871
2.889973,0.206892,0.350992
2.894973,0.207434,0.351173
2.899972,0.207791,0.351294
2.904972,0.164301,0.350194
2.909971,0.164460,0.350306
2.914971,0.164546,0.350475
2.919971,0.164554,0.350588
2.924970,0.164650,0.350758
2.929970,0.164665,0.350872
2.934970,0.164777,0.351043
2.939969,0.164836,0.351158
2.944969,0.164962,0.351331
2.949969,0.165076,0.351447
2.954968,0.165243,0.351622
2.959968,0.165354,0.351738
2.964967,0.165521,0.351914
2.969967,0.165629,0.352032
2.974967,0.165796,0.352210
2.979966,0.165914,0.352329
2.984966,0.166083,0.352508
2.989966,0.166143,0.352627
2.994965,0.166303,0.352808
2.999965,0.166540,0.352929
3.004965,0.138299,0.351833
3.009964,0.138166,0.351944
3.014964,0.137996,0.352112
3.019964,0.137715,0.352224
3.024963,0.137581,0.352394
3.029963,0.137605,0.352507
3.034962,0.137441,0.352678
3.039962,0.137313,0.352793
3.044962,0.137173,0.352965
3.049961,0.137082,0.353080
3.054961,0.136951,0.353254
3.059961,0.136822,0.353370
3.064960,0.136676,0.353545
3.069960,0.136626,0.353663
3.074960,0.136500,0.353840
3.079959,0.136453,0.353958
3.084959,0.136342,0.354136
3.089958,0.136391,0.354256
3.094958,0.136304,0.354435
3.099958,0.136206,0.354556
3.104957,0.106146,0.353464
3.109957,0.106097,0.353575
3.114957,0.105905,0.353742
3.119956,0.105837,0.353854
3.124956,0.105634,0.354023
3.129956,0.105499,0.354136
3.134955,0.105295,0.354306
